2022/04/05 4:16:32 PM AST,1. Constantly tired,2. Not realy learning,3. Degrease the price of food,4. GPA,5. More Frequent bus routes needed
2022/04/05 4:16:48 PM AST,1. Finding internships,2. balancing social life with school work,3. finding an organization that can help promote learning about one's major,4. earning money while in school,5. stressed about life after college
2022/04/05 4:17:00 PM AST,1. Internships,2. work-life balance,3. time management,4. work load,5.lecture and class format
2022/04/05 4:17:33 PM AST,1. More Breaks,2. later hw due dates,3. better notes on canvas,4. Batter roads/sidewalks,5. On campus groceries
2022/04/05 4:18:45 PM AST,1. work load,2. parents need to take a break,3. less weight on tests,4. more clear degree reqs system,5. better housing app system
2022/04/05 4:19:14 PM AST,"1. Less weight on tests, more on projects",2. less work load,3. better teachers,4. stronger alignment between assignments and exams,5. less work
2022/04/05 4:19:53 PM AST,1. Graduation,"2.  Less busy work in classes, more project based assignments that actually test your knowledge of the subject",3. Constant State of Exhaustion,4.  Too much emphasis on tests and not enough emphasis on learning workforce-relevant skills,5. Make the available mental health resources more clearly explained and accessible
2022/04/05 4:19:57 PM AST,1. Excercise Schedule,2. getting up early,3. moving,4. work life balance,5.commuting
2022/04/05 4:20:12 PM AST,1.Not enough time,2. Stress from school work,3. class rigor,4. financial stress,5. graduation stress
2022/04/05 4:20:32 PM AST,"1. Unless if it is not reasonable to expect us to have access to external resources when we use the knowledge we gain in a class, all tests should be open note","2. Breaking up larger tests, projects, and assignments into smaller ones would encourage more spread out and effective studying",3. Lower the credit hour requirement for a student to be considered enrolled full-time,4. Promote mental health resources better with in-class explanations of how to access them.,5. Put in place a non-academic incentive for the CIOS and provide greater incentive for professors to earn better CIOS responses
2022/04/05 4:20:33 PM AST,1. experience based learning over exams,2. work life balance,3. internship matching,4. mental health emphasis,5. better financial aid
2022/04/05 4:20:48 PM AST,1. Figuring out unknowns for next year. Suggestion: Have panels talking about different struggles of students,2. Lots of end of semester stress. Have events that help reduce stress for students,"3. Insecurities in my abilities. Have panels for insecurities, about imposter syndrome",4. NAV gym is not good. Upgrade gym equipment (which is happening but not until next year) ,5. Bad roads on gt (speak with the local government to repave roads)
2022/04/05 4:20:54 PM AST,1.Tuition is too expensive ,"2.I find myself not being able to sleep because I have too much work to always do, and when I need sleep my stress keeps me up. ",3.trying to figure out next steps in professional life ,4.ECE doesn't hire enough TA's for classes ,5. Work load
2022/04/05 4:21:00 PM AST,1. Rework some courses to focus on more application based assessments. ,2. Slightly flexible exam / project due dates to alleviate crunch stress ,3. Reduce tuition costs (particularly for out of state students) ,4. Incorporate more real world work environment type experiences into classes. ,5. Have recorded lectures for students to review class materials if they are absent 
2022/04/05 4:21:21 PM AST,1. Internships/CO-OPs,"2. finding time for myself, ","3. earning money, ",4. school work,"5. social life, "
2022/04/05 4:21:35 PM AST,1. Financial Aid ,2. Grades,3. Graduation,4. Finding a job,5.Socializing
2022/04/05 4:22:06 PM AST,1. More on campus dining options, 2. Have exams schedules be more flexible ,3. Have more emphasis on projects ,4. Better work-life balance, 5. Have less busy work
2022/04/05 4:22:58 PM AST,1. Making registration of classes and graduation eaiser ,2. less weight on tests for classes it doesn't make sense that your whole semester is dependent on a single day ,3. giving free food and coffee outside populated buildings so students running late or who forgot to eat can take care of themselves ,4. Getting more therapists or councilors for people with mental health issues ,"5. giving more resources for adulting like moving, doing taxes etc "
2022/04/05 4:23:13 PM AST,"1. Less busy work in classes, more project based assignments that actually test your knowledge of the subject ",2. Make the available mental health resources more clearly explained and accessible ,3. Clearer sylabi ,4. On campus groceries ,5. More options to take classes on practical 'life skills' for post graduation 
2022/04/05 4:23:38 PM AST,1. Surviving alone in a new state,2. Finding motivation for doing classwork,3. Not being distracted by other's misguided standards,4. Finding someone I can actually open up to,5. Proper nourishment
